N,K,S,diameter,averageShortestPathLength,edges
16,4,C(16; 1; 2; 3; 4),2,1.4666666666666666,64
16,4,C(16; 1; 2; 3; 5),2,1.4666666666666666,64
16,4,C(16; 1; 2; 3; 6),2,1.4666666666666666,64
16,4,C(16; 1; 2; 3; 7),2,1.4666666666666666,64
16,4,C(16; 1; 2; 4; 5),2,1.4666666666666666,64
16,4,C(16; 1; 2; 4; 6),2,1.4666666666666666,64
16,4,C(16; 1; 2; 4; 7),2,1.4666666666666666,64
16,4,C(16; 1; 2; 5; 6),2,1.4666666666666666,64
16,4,C(16; 1; 2; 5; 7),2,1.4666666666666666,64
16,4,C(16; 1; 2; 6; 7),2,1.4666666666666666,64
16,4,C(16; 1; 3; 4; 5),2,1.4666666666666666,64
16,4,C(16; 1; 3; 4; 6),2,1.4666666666666666,64
16,4,C(16; 1; 3; 4; 7),2,1.4666666666666666,64
16,4,C(16; 1; 3; 5; 6),2,1.4666666666666666,64
16,4,C(16; 1; 3; 5; 7),2,1.4666666666666666,64
16,4,C(16; 1; 3; 6; 7),2,1.4666666666666666,64
16,4,C(16; 1; 4; 5; 6),2,1.4666666666666666,64
16,4,C(16; 1; 4; 5; 7),2,1.4666666666666666,64
16,4,C(16; 1; 4; 6; 7),2,1.4666666666666666,64
16,4,C(16; 1; 5; 6; 7),2,1.4666666666666666,64
