N,K,S,diameter,averageShortestPathLength,edges
1261,4,C(1261; 1; 30; 98; 373),7,5.153968253968254,5044
1261,4,C(1261; 1; 42; 333; 534),7,5.153968253968254,5044
1261,4,C(1261; 1; 46; 263; 556),7,5.153968253968254,5044
1261,4,C(1261; 1; 112; 193; 515),7,5.153968253968254,5044
1261,4,C(1261; 1; 196; 304; 595),7,5.153968253968254,5044
1261,4,C(1261; 1; 241; 466; 591),7,5.153968253968254,5044
1261,4,C(1261; 1; 285; 518; 537),7,5.153968253968254,5044
1261,4,C(1261; 1; 347; 431; 469),7,5.153968253968254,5044
