N,K,S,diameter,averageShortestPathLength,edges
2669,4,C(2669; 1; 56; 157; 1187),9,6.272113943028486,10676
2669,4,C(2669; 1; 72; 380; 942),9,6.272113943028486,10676
2669,4,C(2669; 1; 81; 273; 856),9,6.272113943028486,10676
2669,4,C(2669; 1; 101; 600; 915),9,6.272113943028486,10676
2669,4,C(2669; 1; 129; 316; 599),9,6.272113943028486,10676
2669,4,C(2669; 1; 143; 1075; 1099),9,6.272113943028486,10676
2669,4,C(2669; 1; 209; 309; 1057),9,6.272113943028486,10676
2669,4,C(2669; 1; 293; 691; 919),9,6.272113943028486,10676
2669,4,C(2669; 1; 549; 564; 1242),9,6.272113943028486,10676
2669,4,C(2669; 1; 601; 878; 1007),9,6.272113943028486,10676
2669,4,C(2669; 1; 659; 945; 1084),9,6.272113943028486,10676
