N,K,S,diameter,averageShortestPathLength,edges
1141,4,C(1141; 1; 14; 187; 440),7,5.02280701754386,4564
1141,4,C(1141; 1; 46; 375; 446),7,5.02280701754386,4564
1141,4,C(1141; 1; 58; 215; 417),7,5.02280701754386,4564
1141,4,C(1141; 1; 59; 134; 499),7,5.02280701754386,4564
1141,4,C(1141; 1; 61; 206; 564),7,5.02280701754386,4564
1141,4,C(1141; 1; 71; 265; 506),7,5.02280701754386,4564
1141,4,C(1141; 1; 72; 172; 468),7,5.02280701754386,4564
1141,4,C(1141; 1; 85; 191; 498),7,5.02280701754386,4564
1141,4,C(1141; 1; 86; 140; 153),7,5.02280701754386,4564
1141,4,C(1141; 1; 87; 102; 227),7,5.02280701754386,4564
1141,4,C(1141; 1; 115; 178; 332),7,5.02280701754386,4564
1141,4,C(1141; 1; 124; 281; 536),7,5.02280701754386,4564
1141,4,C(1141; 1; 155; 299; 405),7,5.02280701754386,4564
1141,4,C(1141; 1; 181; 341; 552),7,5.02280701754386,4564
1141,4,C(1141; 1; 199; 360; 476),7,5.02280701754386,4564
1141,4,C(1141; 1; 215; 318; 471),7,5.02280701754386,4564
1141,4,C(1141; 1; 225; 250; 293),7,5.02280701754386,4564
1141,4,C(1141; 1; 295; 439; 536),7,5.02280701754386,4564
1141,4,C(1141; 1; 349; 370; 481),7,5.02280701754386,4564
