N,K,S,diameter,averageShortestPathLength,edges
26,4,C(26; 1; 2; 3; 10),2,1.68,104
26,4,C(26; 1; 2; 4; 11),2,1.68,104
26,4,C(26; 1; 2; 6; 11),2,1.68,104
26,4,C(26; 1; 2; 7; 11),2,1.68,104
26,4,C(26; 1; 2; 7; 12),2,1.68,104
26,4,C(26; 1; 3; 4; 10),2,1.68,104
26,4,C(26; 1; 3; 4; 12),2,1.68,104
26,4,C(26; 1; 3; 5; 12),2,1.68,104
26,4,C(26; 1; 3; 7; 12),2,1.68,104
26,4,C(26; 1; 3; 8; 12),2,1.68,104
26,4,C(26; 1; 3; 10; 11),2,1.68,104
26,4,C(26; 1; 4; 5; 12),2,1.68,104
26,4,C(26; 1; 4; 6; 9),2,1.68,104
26,4,C(26; 1; 4; 7; 9),2,1.68,104
26,4,C(26; 1; 4; 8; 12),2,1.68,104
26,4,C(26; 1; 4; 9; 10),2,1.68,104
26,4,C(26; 1; 4; 9; 11),2,1.68,104
26,4,C(26; 1; 5; 6; 8),2,1.68,104
26,4,C(26; 1; 5; 7; 8),2,1.68,104
26,4,C(26; 1; 5; 8; 11),2,1.68,104
26,4,C(26; 1; 5; 8; 12),2,1.68,104
26,4,C(26; 1; 5; 9; 12),2,1.68,104
26,4,C(26; 1; 6; 7; 10),2,1.68,104
26,4,C(26; 1; 6; 11; 12),2,1.68,104
26,4,C(26; 1; 7; 10; 12),2,1.68,104
26,4,C(26; 1; 8; 9; 12),2,1.68,104
26,4,C(26; 1; 9; 10; 12),2,1.68,104
