"C(23; 1, 5, 8)";3;1,81818;69;1132
"C(23; 2, 4, 5)";3;1,81818;69;1132
"C(23; 3, 4, 5)";3;1,81818;69;1132
"C(23; 3, 4, 6)";3;1,81818;69;1132
"C(23; 3, 5, 7)";3;1,81818;69;1132
"C(23; 3, 7, 8)";3;1,81818;69;1132
"C(23; 3, 7, 11)";3;1,81818;69;1132
"C(23; 4, 5, 7)";3;1,81818;69;1132
"C(23; 4, 6, 7)";3;1,81818;69;1132
"C(23; 5, 6, 8)";3;1,81818;69;1132
"C(23; 6, 7, 9)";3;1,81818;69;1132
"C(23; 6, 8, 10)";3;1,81818;69;1132
"C(23; 6, 9, 10)";3;1,81818;69;1132
"C(23; 8, 9, 10)";3;1,81818;69;1132
"C(23; 8, 9, 11)";3;1,81818;69;1132
